VM Name,Backup Status
MYHQ1190S-BPC HANA DEV APP,Success
MYHQ1191S - BPC HANA QAS APP,Success
MYHQ1192S-BPC HANA WebDisp Prod,Success
MYHQ1194S- BPC HANA App1 Prod,Success
MYHQ1195S-BPC HANA App2 Prod,Success
SAPGHOHANA-DEV,Success
SAPGHOHANA-QAS,Success
SAPGHOHANA-PRD,Success
New SSCSOLMAN,Success
SIMEHRD-SAP HR DEV NEW,Success
SIMEHRP-SAP HR PROD,Success
SIMEHRQ-SAP HR QAS NEW,Success
GSCSOLMANABP,Success
GSCSOLMANJAV,Success
SAPGHOPODDB-SAPPO DB DEV,Success
SAPGHOPOQDB-SAPPO DB QAS,Success
SAPGHOPOPDB-SAPPO DB Prod,Failed
SAPGHOPOPWD-SAPPO WebDisp Prod,Failed
SAPGHOPOQWD-SAPPO WebDisp QAS,Success
SAPGHOPOPAP1,Failed
SAPGHOPOPAP2,Failed
SAPGHOPOPAP3,Failed
MYBIZDB,Success
MYBIZAPP,Success
MYBIZWEB,Success
